schema,id,record_id,record_id_scheme,source_native_id,source_native_type,canonical_source_url,title,description,url,publisher,publisher_id,authority_tier,record_type,kind,source_family,source_families,source_native_ids,jurisdiction,jurisdiction_state,audience,access_model,access_state,authentication,licence,licence_state,rights_state,rights_ref,authority_role,derivation,lifecycle_state,evidence_refs,cadence,cadence_state,formats,topics,languages,language_state,curation,publisher_last_updated,observed_at,caveats,caveat_ids,source_urls
okf-hmlr-record.v2,hmlr-44ac7c70d4492eb2ddd2ef0b,hmlr-44ac7c70d4492eb2ddd2ef0b,sha256(source_family NUL source_native_id)-24,github:LandRegistry/.github,software-repository,https://github.com/LandRegistry/.github,.github,,https://github.com/LandRegistry/.github,HM Land Registry,https://www.gov.uk/government/organisations/land-registry,B,software-repository,repository,github,github,github:LandRegistry/.github,,unknown,developer,public-repository,public,none for public metadata,,unknown,metadata-only,RIGHT-GITHUB,official-operational-source,normalized-frozen-source-metadata,active,EV-ACQUISITION-SNAPSHOT | EV-GITHUB,event-driven,stated,Git,,,unknown,source-native,2023-12-11T09:04:11Z,2026-07-29T09:19:15Z,"An official-organisation repository may be experimental, archived or superseded. | Repository metadata is operational evidence, not HMLR policy or legal advice.",CAV-BOUNDED-COVERAGE | CAV-DATE-SEPARATION | CAV-RIGHTS-AND-ACCESS | CAV-SOURCE-AUTHORITY,https://github.com/LandRegistry/.github
okf-hmlr-record.v2,hmlr-629dad5aa10eac33262d5b22,hmlr-629dad5aa10eac33262d5b22,sha256(source_family NUL source_native_id)-24,govuk:https://www.gov.uk/government/news/10-things-to-love-about-us,news_story,https://www.gov.uk/government/news/10-things-to-love-about-us,10 things to love about us,Highlights from our Annual Report and Accounts 2018/19.,https://www.gov.uk/government/news/10-things-to-love-about-us,HM Land Registry,https://www.gov.uk/government/organisations/land-registry,A,news_story,news,govuk-search,govuk-search,govuk:https://www.gov.uk/government/news/10-things-to-love-about-us,,unknown,,public-web,public,none for this publication metadata,,unknown,open-with-conditions,RIGHT-GOVUK,publisher-authoritative-source,normalized-frozen-source-metadata,unknown,EV-ACQUISITION-SNAPSHOT | EV-GOVUK-SEARCH,,unknown,HTML,news story,,unknown,source-native,2019-07-11T11:36:07Z,2026-07-29T09:19:15Z,"Search metadata is a discovery record, not the full document or legal advice. | Publisher modification time is not dataset release, registration or legal currency.",CAV-BOUNDED-COVERAGE | CAV-DATE-SEPARATION | CAV-RIGHTS-AND-ACCESS | CAV-SOURCE-AUTHORITY,https://www.gov.uk/government/news/10-things-to-love-about-us
okf-hmlr-record.v2,hmlr-7073dffae7f428e0cb9f875c,hmlr-7073dffae7f428e0cb9f875c,sha256(source_family NUL source_native_id)-24,hmlr:dataset:1862-act-register,historical-dataset,https://www.gov.uk/guidance/1862-act-register,1862 Act Register,A static digital representation of the first land register created by HM Land Registry under the Land Registry Act 1862.,https://www.gov.uk/guidance/1862-act-register,HM Land Registry,https://www.gov.uk/government/organisations/land-registry,A,historical-dataset,dataset,ulpd,govuk-search | ulpd,govuk:https://www.gov.uk/guidance/1862-act-register | hmlr:dataset:1862-act-register,Historical register coverage under the 1862 Act,stated,historians | public | researchers,public download,public,none,Open Government Licence v3.0 subject to the source's stated conditions,stated,open-with-conditions,RIGHT-DATASETS,publisher-authoritative-source,reviewed-curated-metadata,unknown,EV-ACQUISITION-SNAPSHOT | EV-GOVUK-SEARCH | EV-PUBLIC-DATA | EV-ULPD,static,stated,JPG,1862-act | archive | history | land-register,,unknown,reviewed,,2026-07-29T07:53:38Z,"This is a historical source, not the current register. | Names and property information may concern historical individuals and require responsible handling. | Image transcription and interpretation can introduce errors.",CAV-BOUNDED-COVERAGE | CAV-DATE-SEPARATION | CAV-RIGHTS-AND-ACCESS | CAV-SOURCE-AUTHORITY,https://digitalarchives.landregistry.gov.uk/ | https://www.gov.uk/guidance/1862-act-register | https://www.legislation.gov.uk/ukpga/Vict/25-26/53/contents
okf-hmlr-record.v2,hmlr-4aa988fe56d5835560da4d53,hmlr-4aa988fe56d5835560da4d53,sha256(source_family NUL source_native_id)-24,govuk:https://www.gov.uk/government/news/1862-property-ownership-records-released,news_story,https://www.gov.uk/government/news/1862-property-ownership-records-released,1862 property ownership records released,From today we’ve released details of the first properties registered under the Land Registry Act 1862.,https://www.gov.uk/government/news/1862-property-ownership-records-released,HM Land Registry,https://www.gov.uk/government/organisations/land-registry,A,news_story,news,govuk-search,govuk-search,govuk:https://www.gov.uk/government/news/1862-property-ownership-records-released,,unknown,,public-web,public,none for this publication metadata,,unknown,open-with-conditions,RIGHT-GOVUK,publisher-authoritative-source,normalized-frozen-source-metadata,unknown,EV-ACQUISITION-SNAPSHOT | EV-GOVUK-SEARCH,,unknown,HTML,news story,,unknown,source-native,2014-03-30T23:00:00Z,2026-07-29T09:19:15Z,"Search metadata is a discovery record, not the full document or legal advice. | Publisher modification time is not dataset release, registration or legal currency.",CAV-BOUNDED-COVERAGE | CAV-DATE-SEPARATION | CAV-RIGHTS-AND-ACCESS | CAV-SOURCE-AUTHORITY,https://www.gov.uk/government/news/1862-property-ownership-records-released
okf-hmlr-record.v2,hmlr-5c39d44153cee353bb6b43bb,hmlr-5c39d44153cee353bb6b43bb,sha256(source_family NUL source_native_id)-24,govuk:https://www.gov.uk/government/news/a-monumental-week-in-local-land-charges,news_story,https://www.gov.uk/government/news/a-monumental-week-in-local-land-charges,A monumental week in Local Land Charges,"This week the Local Land Charges Programme welcomed five new local authorities joining the register, including our first Welsh local authority.",https://www.gov.uk/government/news/a-monumental-week-in-local-land-charges,HM Land Registry,https://www.gov.uk/government/organisations/land-registry,A,news_story,news,govuk-search,govuk-search,govuk:https://www.gov.uk/government/news/a-monumental-week-in-local-land-charges,,unknown,,public-web,public,none for this publication metadata,,unknown,open-with-conditions,RIGHT-GOVUK,publisher-authoritative-source,normalized-frozen-source-metadata,unknown,EV-ACQUISITION-SNAPSHOT | EV-GOVUK-SEARCH,,unknown,HTML,news story,,unknown,source-native,2022-04-29T11:27:21Z,2026-07-29T09:19:15Z,"Search metadata is a discovery record, not the full document or legal advice. | Publisher modification time is not dataset release, registration or legal currency.",CAV-BOUNDED-COVERAGE | CAV-DATE-SEPARATION | CAV-LANGUAGE-DISTINCTION | CAV-RIGHTS-AND-ACCESS | CAV-SOURCE-AUTHORITY,https://www.gov.uk/government/news/a-monumental-week-in-local-land-charges
okf-hmlr-record.v2,hmlr-bfa8386304c0faa01ebf69c3,hmlr-bfa8386304c0faa01ebf69c3,sha256(source_family NUL source_native_id)-24,govuk:https://www.gov.uk/government/news/a-year-of-transformation-inclusion-and-continuity-in-crisis,press_release,https://www.gov.uk/government/news/a-year-of-transformation-inclusion-and-continuity-in-crisis,"A year of transformation, inclusion and continuity in crisis",Today we have launched our Annual Report and Accounts 2019/20: Transforming in uncertainty.,https://www.gov.uk/government/news/a-year-of-transformation-inclusion-and-continuity-in-crisis,HM Land Registry,https://www.gov.uk/government/organisations/land-registry,A,press_release,news,govuk-search,govuk-search,govuk:https://www.gov.uk/government/news/a-year-of-transformation-inclusion-and-continuity-in-crisis,,unknown,,public-web,public,none for this publication metadata,,unknown,open-with-conditions,RIGHT-GOVUK,publisher-authoritative-source,normalized-frozen-source-metadata,unknown,EV-ACQUISITION-SNAPSHOT | EV-GOVUK-SEARCH,,unknown,HTML,press release,,unknown,source-native,2020-07-16T14:04:21Z,2026-07-29T09:19:15Z,"Search metadata is a discovery record, not the full document or legal advice. | Publisher modification time is not dataset release, registration or legal currency.",CAV-BOUNDED-COVERAGE | CAV-DATE-SEPARATION | CAV-RIGHTS-AND-ACCESS | CAV-SOURCE-AUTHORITY,https://www.gov.uk/government/news/a-year-of-transformation-inclusion-and-continuity-in-crisis
okf-hmlr-record.v2,hmlr-b2024e2e253dec30315c8302,hmlr-b2024e2e253dec30315c8302,sha256(source_family NUL source_native_id)-24,govuk:https://www.gov.uk/government/organisations/land-registry/about/about-our-services,about_our_services,https://www.gov.uk/government/organisations/land-registry/about/about-our-services,About our services,The range of services that HM Land Registry offers.,https://www.gov.uk/government/organisations/land-registry/about/about-our-services,HM Land Registry,https://www.gov.uk/government/organisations/land-registry,A,about_our_services,corporate,govuk-search,govuk-search,govuk:https://www.gov.uk/government/organisations/land-registry/about/about-our-services,,unknown,,public-web,public,none for this publication metadata,,unknown,open-with-conditions,RIGHT-GOVUK,publisher-authoritative-source,normalized-frozen-source-metadata,unknown,EV-ACQUISITION-SNAPSHOT | EV-GOVUK-SEARCH,,unknown,HTML,about our services,,unknown,source-native,2018-03-29T10:03:04Z,2026-07-29T09:19:15Z,"Search metadata is a discovery record, not the full document or legal advice. | Publisher modification time is not dataset release, registration or legal currency.",CAV-BOUNDED-COVERAGE | CAV-DATE-SEPARATION | CAV-RIGHTS-AND-ACCESS | CAV-SOURCE-AUTHORITY,https://www.gov.uk/government/organisations/land-registry/about/about-our-services
okf-hmlr-record.v2,hmlr-eee381d78d4cb5970c40f594,hmlr-eee381d78d4cb5970c40f594,sha256(source_family NUL source_native_id)-24,govuk:https://www.gov.uk/government/organisations/land-registry/about,about,https://www.gov.uk/government/organisations/land-registry/about,About us,We register the ownership of land and property in England and Wales.,https://www.gov.uk/government/organisations/land-registry/about,HM Land Registry,https://www.gov.uk/government/organisations/land-registry,A,about,corporate,govuk-search,govuk-search,govuk:https://www.gov.uk/government/organisations/land-registry/about,,unknown,,public-web,public,none for this publication metadata,,unknown,open-with-conditions,RIGHT-GOVUK,publisher-authoritative-source,normalized-frozen-source-metadata,unknown,EV-ACQUISITION-SNAPSHOT | EV-GOVUK-SEARCH,,unknown,HTML,about,,unknown,source-native,2025-11-26T09:52:08Z,2026-07-29T09:19:15Z,"Search metadata is a discovery record, not the full document or legal advice. | Publisher modification time is not dataset release, registration or legal currency.",CAV-BOUNDED-COVERAGE | CAV-DATE-SEPARATION | CAV-RIGHTS-AND-ACCESS | CAV-SOURCE-AUTHORITY,https://www.gov.uk/government/organisations/land-registry/about
okf-hmlr-record.v2,hmlr-e6b88bd3c84733c5d89a7b31,hmlr-e6b88bd3c84733c5d89a7b31,sha256(source_family NUL source_native_id)-24,github:LandRegistry/AC-PrototypeKit-Setup-Test,software-repository,https://github.com/LandRegistry/AC-PrototypeKit-Setup-Test,AC-PrototypeKit-Setup-Test,"IGNORE - This was a quick attempt to get the latest GOV UK Kit up and running locally, then on to GitHub, followed by Heroku integration and automated updates",https://github.com/LandRegistry/AC-PrototypeKit-Setup-Test,HM Land Registry,https://www.gov.uk/government/organisations/land-registry,B,software-repository,repository,github,github,github:LandRegistry/AC-PrototypeKit-Setup-Test,,unknown,developer,public-repository,public,none for public metadata,MIT,stated,metadata-only,RIGHT-GITHUB,official-operational-source,normalized-frozen-source-metadata,archived,EV-ACQUISITION-SNAPSHOT | EV-GITHUB,event-driven,stated,Git,archived | JavaScript,,unknown,source-native,2023-12-11T10:37:03Z,2026-07-29T09:19:15Z,"An official-organisation repository may be experimental, archived or superseded. | Repository metadata is operational evidence, not HMLR policy or legal advice.",CAV-BOUNDED-COVERAGE | CAV-DATE-SEPARATION | CAV-RIGHTS-AND-ACCESS | CAV-SOURCE-AUTHORITY,https://github.com/LandRegistry/AC-PrototypeKit-Setup-Test
okf-hmlr-record.v2,hmlr-486fe8944b73b6217549f9b6,hmlr-486fe8944b73b6217549f9b6,sha256(source_family NUL source_native_id)-24,govuk:https://www.gov.uk/government/news/accelerating-our-digital-transformation,news_story,https://www.gov.uk/government/news/accelerating-our-digital-transformation,Accelerating our digital transformation,"Our Annual Report and Accounts 2021-22 reveals a strong year in our transition to a data-driven, digital organisation that is flexible, resilient and responsive to market challenges.",https://www.gov.uk/government/news/accelerating-our-digital-transformation,HM Land Registry,https://www.gov.uk/government/organisations/land-registry,A,news_story,news,govuk-search,govuk-search,govuk:https://www.gov.uk/government/news/accelerating-our-digital-transformation,,unknown,,public-web,public,none for this publication metadata,,unknown,open-with-conditions,RIGHT-GOVUK,publisher-authoritative-source,normalized-frozen-source-metadata,unknown,EV-ACQUISITION-SNAPSHOT | EV-GOVUK-SEARCH,,unknown,HTML,news story,,unknown,source-native,2022-07-14T12:31:09Z,2026-07-29T09:19:15Z,"Search metadata is a discovery record, not the full document or legal advice. | Publisher modification time is not dataset release, registration or legal currency.",CAV-BOUNDED-COVERAGE | CAV-DATE-SEPARATION | CAV-RIGHTS-AND-ACCESS | CAV-SOURCE-AUTHORITY,https://www.gov.uk/government/news/accelerating-our-digital-transformation
